skills,qualification,experience_years,education_level,language,certification,soft_skills,job_role,source
"REST API, API development, Mobile UI, Flutter, Statistics, Dart",App portfolio,3,Certification,German,Kubernetes Basics,"Self Learning, Teamwork, Attention to Detail, Time Management",Mobile Developer,current_custom_dataset
"java, qa, selenium",QA Engineer- Selenium Experience at Opus Recruitment Solutions,2,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"Kubernetes, Docker, Firewalls, System administration, Cloud project, Redis, AWS, Monitoring, Incident Response, Networking, Nginx",System administration,0,College,English,ISTQB Foundation,"Critical Thinking, Attention to Detail",DevOps Engineer,current_custom_dataset
"Java, Kotlin, Spring Boot, REST API, PostgreSQL, Kafka, Redis, Docker, Kubernetes, Microservices",Senior Backend Developer (Java/Kotlin),7,Unknown,Russian,,"Leadership, Analytical Thinking, Problem Solving, Teamwork",Backend Developer,current_custom_dataset
"Docker, Figma, Git, Node.js, Postman, CSS, Vite",AI course,5,Bachelor,Kazakh,AWS Cloud Practitioner,"Self Learning, Critical Thinking",Frontend Developer,current_custom_dataset
"Business reporting, Firebase, Power BI, Testing, Regression Testing, Node.js, UI Design, Vite",UI implementation,0,Master,Russian,Meta Frontend,"Attention to Detail, Adaptability, Time Management, Critical Thinking",Frontend Developer,current_custom_dataset
cybersecurity,Senior CyberSecurity SOC Analyst at Live Nation,4,Unknown,English,,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
"API development, Cryptography, Kotlin, React, Firebase, Spring Boot, Mobile UI, Dart, Responsive Design, Flutter, Android",App portfolio,1,Bachelor,Turkish,TensorFlow Developer,"Time Management, Problem Solving, Creativity, Teamwork",Mobile Developer,current_custom_dataset
"Python, Machine Learning, Deep Learning, PyTorch, TensorFlow, LLM, NLP, Computer Vision, Docker, Git",Senior ML Developer,4,Unknown,Russian,,"Analytical Thinking, Problem Solving, Communication, Leadership",Machine Learning Engineer,current_custom_dataset
"Cloud security, SIEM, Bash, Firewalls, Monitoring, Redis",Network administration,2,College,German,TensorFlow Developer,"Teamwork, Communication, Attention to Detail",Cybersecurity Analyst,current_custom_dataset
"Cryptography, Linux, Dart, Firewalls, Bash, Security Monitoring, Statistics, Incident Response, System administration, Power BI",Cybersecurity certificate,4,Bachelor,Kazakh,ISTQB Foundation,"Adaptability, Attention to Detail, Problem Solving",Cybersecurity Analyst,current_custom_dataset
"qa, security",QA Engineer at Advanced Resource Managers Limited,2,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"Monitoring, Docker, Flutter, Java, Hibernate, Manual Testing, Postman, Microservices, Python, Linux",API development,1,Master,German,Cisco CCNA,"Attention to Detail, Creativity, Time Management",Backend Developer,current_custom_dataset
"Incident Response, Bash, Cryptography, SQL, Python",CTF practice,1,College,Turkish,Oracle Java,"Problem Solving, Adaptability, Self Learning",Cybersecurity Analyst,current_custom_dataset
"CI/CD, Postman, Mobile Testing, REST API, Spring Boot, Redis, Nginx, AWS, Microservices, Java",Computer Science degree,3,Bachelor,German,ISTQB Foundation,"Leadership, Adaptability, Communication, Creativity",Backend Developer,current_custom_dataset
"Redis, API Testing, Docker, GitHub Actions, TensorFlow, Linux, Bash, Security Monitoring, Monitoring, HTML",Network administration,3,Bachelor,Turkish,Meta Frontend,"Communication, Critical Thinking, Adaptability",DevOps Engineer,current_custom_dataset
"cybersecurity, security",Senior Industry CyberSecurity Analyst at GSM Conference Services,4,Unknown,English,,Teamwork,Cybersecurity Analyst,adzuna_api
"SQL (Advanced), ClickHouse, Data Analysis, Forecasting, Product Analytics, Excel/Google Sheets (Advanced), BI Tools (Power BI/Tableau/Looker), Data Validation, ETL Basics, Git, Reporting",Data Analyst,2,Bachelor,Russian,none,"Analytical Thinking, Communication, Attention to Detail, Problem Solving",Data Analyst,current_custom_dataset
"React, JavaScript, TypeScript, HTML, CSS, REST API, WebSockets, Git, Unit Testing, Next.js",Senior React Developer,4,Unknown,Russian,,"Leadership, Communication, Teamwork, Problem Solving",Frontend Developer,current_custom_dataset
cybersecurity,Director Analyst – Infrastructure Cybersecurity (Remote: Europe) at Gartner,2,Unknown,English,,Problem Solving,Cybersecurity Analyst,adzuna_api
"REST API, Firewalls, Python, Cryptography, System administration, Bash, Wireshark",Network administration,1,Master,German,Oracle Java,"Attention to Detail, Time Management",Cybersecurity Analyst,current_custom_dataset
"JavaScript, Microservices, State Management, Postman, UI Design, Figma, Node.js, HTML, CSS, Responsive Design",Portfolio projects,0,Certification,Kazakh,Google Data Analytics,"Critical Thinking, Leadership",Frontend Developer,current_custom_dataset
"java, qa, selenium",QA Engineer- Selenium Experience at Opus Recruitment Solutions Ltd,2,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"React Native, JavaScript, TypeScript, REST API, Mobile Development, Git, CI/CD, Performance Optimization, Debugging, API Integration",Middle React Native Developer,4,Unknown,English,,"Teamwork, Communication, Problem Solving, Analytical Thinking",Frontend Developer,current_custom_dataset
"SQL, A/B Testing, REST API, Model Evaluation, Excel, NumPy, Pandas",Data analysis projects,0,Bachelor,Russian,Oracle Java,"Self Learning, Time Management, Attention to Detail",Data Analyst,current_custom_dataset
"qa, testing",Senior QA Engineer at trg.recruitment,4,Unknown,English,,Teamwork,QA Engineer,adzuna_api
"Networking, Security Monitoring, Bash, GitHub Actions, Kubernetes, CCNA, System administration, PostgreSQL, Monitoring, Docker",Linux administration,0,Bachelor,German,Meta Frontend,"Communication, Leadership, Attention to Detail, Adaptability",DevOps Engineer,current_custom_dataset
"Java, Spring Boot, Angular, AWS, Microservices, CI/CD, Docker, REST API, Serverless, Git",Backend Developer,7,Unknown,English,AWS,"Leadership, Communication, Analytical Thinking, Problem Solving",Backend Developer,current_custom_dataset
"Kubernetes, Linux, Windows Server, Active Directory, CI/CD, VMware, Bash, Networking",DevOps Engineer,4,Bachelor,Russian,none,"Problem Solving, Responsibility, Attention to Detail, Communication",DevOps Engineer,current_custom_dataset
"Pandas, A/B Testing, JavaScript, Responsive Design, Jupyter, NumPy, Statistics, Machine Learning, SQL, Business reporting, AWS",Statistics course,2,Bachelor,Russian,Kubernetes Basics,"Self Learning, Time Management, Problem Solving, Attention to Detail",Data Analyst,current_custom_dataset
qa,Senior QA Engineer at Gravitas Recruitment Group  Ltd,4,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"cybersecurity, incident response",Cybersecurity Incident Response Analyst / Incident Response Lead Analyst / Hyderabad/ Cybersecurity at Hsbc,2,Unknown,English,,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
Unknown,"AI-Pilled BackEnd Developers and err, cats. at Mongoose Gray",2,Unknown,English,,"Communication, Problem Solving",Backend Developer,adzuna_api
"Mobile Testing, Model Evaluation, Selenium, Postman, Feature Engineering, Java, Test Cases, Machine Learning, Regression Testing, CI/CD",Software testing course,4,College,Russian,Google Data Analytics,"Attention to Detail, Critical Thinking, Communication, Time Management",QA Engineer,current_custom_dataset
Unknown,Senior Frontend Developer at SEEKR,4,Unknown,English,,"Teamwork, Attention to Detail",Frontend Developer,adzuna_api
"Automation Testing, Security Monitoring, Cryptography, Python, CCNA, Monitoring",Excel certification,0,College,Kazakh,ISTQB Foundation,"Adaptability, Communication",Cybersecurity Analyst,current_custom_dataset
"Excel, Python, Wireshark, Networking, SIEM, CCNA, Risk Assessment, Jira, Hibernate",Linux administration,2,Master,Russian,AWS Cloud Practitioner,"Communication, Problem Solving, Time Management, Self Learning",Cybersecurity Analyst,current_custom_dataset
"Kubernetes, Docker, CI/CD, Jenkins, GitLab, Python, Go, Groovy, Terraform, Ansible, Linux, Git, ArgoCD",DevOps Software Engineer,4,Bachelor,English,,"Communication, Analytical Thinking, Problem Solving, Teamwork",DevOps Engineer,current_custom_dataset
"Flutter, Java, Git, Firewalls, Firebase, UI Design, Postman, Responsive Design, Node.js, CSS",Web development,3,Bootcamp,English,Oracle Java,"Self Learning, Critical Thinking, Creativity",Frontend Developer,current_custom_dataset
